model_name	response	control	model_type	term	estimate	std.error	statistic	p.value	conf.low	conf.high	neg_log10_pvalue	sample_size	rank	bonf_pvalue	fdr_pvalue
model_02	sex	mzid_467.264563_2.0214, AGE8	classif	mzid_467.264563_2.0214	-2.4709870811457333	0.12329413729556618	-20.04139965894869	2.399252640517903e-89	-2.7206792442199195	-2.2369397688844916	88.61992401855744	1447	1	2.7157140638022146e-85	2.7157140638022146e-85
model_02	sex	mzid_449.254283_4.2680, AGE8	classif	mzid_449.254283_4.2680	-2.335751466247291	0.1197738491993336	-19.501347596836577	1.0692756128350165e-84	-2.5779733198230605	-2.108112664373773	83.9709103380974	1447	2	1.2103130661679551e-80	6.051565330839776e-81
model_02	sex	mzid_467.266828_1.8881, AGE8	classif	mzid_467.266828_1.8881	-1.3523978081327976	0.08283611961971725	-16.326184934076633	6.428039239992712e-60	-1.518749921874793	-1.1938439974484814	59.1919214807481	1447	3	7.275897615747751e-56	2.4252992052492504e-56
model_03	BMI8	mzid_443.210809_1.7953, AGE8, sex	regr	mzid_443.210809_1.7953	0.39425377061353645	0.024955065928341017	15.79854654544469	5.744267431954985e-52	0.3453015376604422	0.4432060035666307	51.24076534914203	1442	4	6.501936306229847e-48	1.6254840765574618e-48
model_07	points	mzid_443.210809_1.7953	regr	mzid_443.210809_1.7953	0.3612157035350846	0.02446403901925538	14.765170348640126	4.803455367475464e-46	0.31322670445043665	0.4092047026197325	45.318446240300965	1441	5	5.437031130445477e-42	1.0874062260890955e-42
model_03	BMI8	mzid_341.267632_3.6894, AGE8, sex	regr	mzid_341.267632_3.6894	-0.3473506216140182	0.024376830849675714	-14.24921162869861	3.4087517177157017e-43	-0.39516857993310606	-0.29953266329493033	42.46740463020345	1442	6	3.8583660692824025e-39	6.430610115470671e-40
model_02	sex	mzid_389.192693_5.6706, AGE8	classif	mzid_389.192693_5.6706	0.9181835964195145	0.06760364671004236	13.581864900834121	5.130333031024269e-42	0.7880881316013927	1.0532244689705943	41.28985444213153	1447	7	5.80702395781637e-38	8.295748511166243e-39
model_02	sex	mzid_321.175431_5.6706, AGE8	classif	mzid_321.175431_5.6706	0.8754918607421497	0.06566834012163762	13.332023607121393	1.507522569034998e-40	0.7489558472347773	1.0065032929160505	39.82173617734105	1447	8	1.7063647958907142e-36	2.132955994863393e-37
model_08	cvd	mzid_261.186075_4.0892, points	classif	points	1.0337088425228491	0.07993481394962666	12.931897773281513	2.973864933836177e-38	0.8801917417180158	1.1937471611297672	37.526678760031174	1441	9	3.366117718609169e-34	6.590196262253287e-36
model_08	cvd	mzid_327.216360_2.8607, points	classif	points	1.027973944864426	0.07951101162117617	12.92869910600717	3.100200097831892e-38	0.8752457787904738	1.1871409841404332	37.50861027436582	1441	10	3.5091164907359188e-34	6.590196262253287e-36
model_08	cvd	mzid_395.162276_1.5189, points	classif	points	1.031310602305473	0.07982437947251672	12.91974468352178	3.482952601628647e-38	0.8780326752055864	1.1911578016262163	37.458052435674176	1441	11	3.942354049783466e-34	6.590196262253287e-36
model_08	cvd	mzid_347.222837_4.1583, points	classif	points	1.0243510182148627	0.07935704745731834	12.908129158482152	4.0502212938460076e-38	0.8719210634891862	1.183210988222909	37.392521247385176	1441	12	4.584445482504296e-34	6.590196262253287e-36
model_08	cvd	mzid_363.252993_2.8168, points	classif	points	1.02461941193598	0.0794180460520105	12.90159432108115	4.4088027724530495e-38	0.8720799608357127	1.183609432932539	37.35567932887864	1441	13	4.990323858139607e-34	6.590196262253287e-36
model_08	cvd	mzid_361.162434_4.7858, points	classif	points	1.0250858626199528	0.0794884143573851	12.896041151495359	4.738203172698503e-38	0.8724163735933037	1.1842228697314743	37.324386320799825	1441	14	5.363172171177435e-34	6.590196262253287e-36
